Date,Price_0-3%,Percent Change_0-3%,Price_3-7%,Percent Change_3-7%,Price_7-15%,Percent Change_7-15%,Price_15-100%,Percent Change_15-100%,Price_index,Percent Change_index
2023-03-20,44.433,0.011588197796193356,13.307,0.027170976456966534,1.735,0.12152553329023918,-2.968,-0.013953488372092981,88.0,0.023255813953488413
2023-03-21,42.081,-0.05293363040983046,11.737,-0.11798301645750364,1.074,-0.3809798270893372,-3.101,0.04481132075471694,81.0,-0.07954545454545459
2023-03-22,40.363,-0.040826025997481086,10.667,-0.09116469285166573,0.582,-0.45810055865921795,-3.204,0.033215091905836935,76.0,-0.06172839506172845
2023-03-23,41.64,0.03163788618289032,11.478,0.07602887409768444,0.936,0.6082474226804127,-3.121,-0.025905118601747823,80.0,0.05263157894736836
2023-03-24,43.645,0.04815081652257458,12.745,0.11038508450949647,1.49,0.5918803418803418,-3.0,-0.038769625120153806,86.0,0.07499999999999996
2023-03-27,41.949,-0.038858975827700926,11.593,-0.09038838760298151,1.022,-0.31409395973154364,-3.1,0.03333333333333344,81.0,-0.05813953488372092
2023-03-28,41.625,-0.007723664449688861,11.356,-0.02044337099974125,0.941,-0.07925636007827797,-3.117,0.005483870967741833,80.0,-0.012345679012345734
2023-03-29,41.203,-0.01013813813813802,11.09,-0.023423740753786504,0.863,-0.0828905419766206,-3.128,0.0035290343278793213,79.0,-0.012499999999999956
2023-03-30,40.163,-0.025240880518409003,10.41,-0.06131650135256983,0.585,-0.32213209733487835,-3.189,0.019501278772378505,76.0,-0.03797468354430378
2023-03-31,39.392,-0.019196773149415924,9.917,-0.047358309317963476,0.41,-0.2991452991452992,-3.221,0.010034493571652536,74.0,-0.02631578947368418
2023-04-03,39.377,-0.00038078797725427105,9.877,-0.004033477866290158,0.391,-0.046341463414634076,-3.214,-0.002173238124805965,74.0,0.0
2023-04-04,38.96,-0.01058993828884891,9.627,-0.025311329351017542,0.303,-0.22506393861892593,-3.23,0.004978220286247614,73.0,-0.013513513513513487
2023-04-05,39.968,0.02587268993839853,10.241,0.06377895502233288,0.589,0.9438943894389438,-3.169,-0.018885448916408643,76.0,0.041095890410958846
2023-04-06,40.741,0.019340472377902262,10.631,0.03808221853334648,0.734,0.2461799660441426,-3.135,-0.010728936573051517,78.0,0.026315789473684292
2023-04-07,40.346,-0.009695392847500095,10.421,-0.01975355093594211,0.656,-0.10626702997275195,-3.152,0.005422647527910884,77.0,-0.012820512820512775
2023-04-10,40.02,-0.008080107073811349,10.174,-0.023702139909797526,0.575,-0.12347560975609762,-3.167,0.004758883248730861,76.0,-0.012987012987012991
2023-04-11,40.079,0.0014742628685655568,10.253,0.007764890898368515,0.565,-0.017391304347826098,-3.169,0.000631512472371476,76.0,0.0
2023-04-12,39.307,-0.019261957633673443,9.825,-0.041743879840046905,0.402,-0.2884955752212388,-3.211,0.013253392237298822,74.0,-0.02631578947368418
2023-04-13,39.831,0.013330958862289188,10.058,0.023715012722646422,0.48,0.19402985074626855,-3.185,-0.0080971659919028,75.0,0.013513513513513598
2023-04-14,38.346,-0.03728251864125953,9.211,-0.08421157287731151,0.123,-0.7437499999999999,-3.26,0.023547880690737655,71.0,-0.053333333333333344
2023-04-17,38.377,0.0008084285192719864,9.213,0.00021713169037007596,0.117,-0.04878048780487798,-3.256,-0.0012269938650306678,71.0,0.0
2023-04-18,38.024,-0.009198217682466092,9.014,-0.021599913166178264,0.012,-0.8974358974358975,-3.274,0.005528255528255643,70.0,-0.014084507042253502
2023-04-19,38.769,0.01959288870187237,9.415,0.04448635455957395,0.19,14.833333333333334,-3.231,-0.013133781307269388,72.0,0.02857142857142847
2023-04-20,39.589,0.021150919549124403,9.846,0.045778013807753704,0.36,0.894736842105263,-3.193,-0.011761064685855693,74.0,0.02777777777777768
2023-04-21,39.904,0.00795675566445242,10.075,0.02325817590899848,0.489,0.3583333333333334,-3.18,-0.004071406201064831,75.0,0.013513513513513598
2023-04-24,39.512,-0.009823576583801175,9.866,-0.02074441687344908,0.4,-0.1820040899795501,-3.205,0.007861635220125729,74.0,-0.013333333333333308
2023-04-25,39.526,0.0003543227373963287,9.854,-0.0012162983985405385,0.392,-0.020000000000000018,-3.202,-0.0009360374414977279,74.0,0.0
2023-04-26,40.257,0.018494155745585106,10.25,0.04018672620255748,0.561,0.43112244897959195,-3.167,-0.010930668332292393,76.0,0.027027027027026973
2023-04-27,40.005,-0.0062597809076681,10.083,-0.016292682926829283,0.471,-0.1604278074866311,-3.189,0.006946637196084682,75.0,-0.013157894736842146
2023-04-28,39.612,-0.009823772028496491,9.883,-0.019835366458395454,0.392,-0.16772823779193202,-3.202,0.0040765130134838845,74.0,-0.013333333333333308
2023-05-01,39.647,0.0008835706351608685,9.875,-0.0008094708084588342,0.38,-0.030612244897959218,-3.2,-0.0006246096189880257,74.0,0.0
2023-05-02,39.968,0.008096451181678344,10.07,0.019746835443037902,0.483,0.2710526315789472,-3.174,-0.008125000000000049,75.0,0.013513513513513598
2023-05-03,40.674,0.01766413130504385,10.46,0.038728897715988087,0.664,0.37474120082815743,-3.141,-0.010396975425330801,77.0,0.026666666666666616
2023-05-04,42.074,0.034420022618872004,11.34,0.08413001912045881,1.019,0.5346385542168672,-3.065,-0.024196115886660374,81.0,0.051948051948051965
2023-05-05,41.729,-0.00819983837999716,11.139,-0.01772486772486781,0.931,-0.08635917566241402,-3.084,0.006199021207177857,80.0,-0.012345679012345734
2023-05-08,40.955,-0.01854825181528441,10.705,-0.03896220486578683,0.773,-0.1697099892588615,-3.119,0.011348897535667923,78.0,-0.025000000000000022
2023-05-09,41.556,0.014674642900744717,11.088,0.03577767398411957,0.953,0.23285899094437257,-3.075,-0.014107085604360359,80.0,0.02564102564102555
2023-05-10,41.512,-0.0010588122052169746,11.082,-0.0005411255411253979,0.96,0.00734522560335793,-3.073,-0.0006504065040651152,80.0,0.0
2023-05-11,41.187,-0.007829061476199772,10.767,-0.028424472116946542,0.882,-0.08124999999999993,-3.088,0.004881223560039061,79.0,-0.012499999999999956
2023-05-12,40.873,-0.007623764780149034,10.588,-0.016624872294975446,0.794,-0.09977324263038545,-3.114,0.008419689119171014,78.0,-0.012658227848101222
2023-05-15,40.81,-0.0015413598218871893,10.539,-0.004627880619569313,0.798,0.005037783375314797,-3.104,-0.0032113037893384266,78.0,0.0
2023-05-16,41.151,0.008355795148248024,10.728,0.017933390264730953,0.892,0.1177944862155389,-3.084,-0.006443298969072142,79.0,0.012820512820512775
2023-05-17,41.488,0.008189351413088186,10.874,0.013609246830723398,0.979,0.09753363228699552,-3.061,-0.007457846952010461,80.0,0.012658227848101333
2023-05-18,40.801,-0.01655900501349783,10.44,-0.039911716019863985,0.806,-0.17671092951991818,-3.098,0.012087553087226421,78.0,-0.025000000000000022
2023-05-19,40.093,-0.017352515869708984,10.045,-0.037835249042145525,0.654,-0.18858560794044665,-3.132,0.010974822466107259,76.0,-0.02564102564102566
2023-05-22,40.393,0.0074826029481454,10.223,0.01772025883524142,0.726,0.11009174311926606,-3.11,-0.007024265644955396,77.0,0.013157894736842035
2023-05-23,40.05,-0.008491570321590425,9.963,-0.025432847500733824,0.646,-0.11019283746556474,-3.125,0.004823151125401992,76.0,-0.012987012987012991
2023-05-24,40.302,0.006292134831460627,10.194,0.023185787413429804,0.735,0.13777089783281737,-3.098,-0.008640000000000092,77.0,0.013157894736842035
2023-05-25,40.261,-0.0010173192397399111,10.194,0.0,0.732,-0.004081632653061273,-3.097,-0.00032278889606196515,77.0,0.0
2023-05-26,39.197,-0.02642756016989145,9.559,-0.06229154404551707,0.492,-0.3278688524590164,-3.149,0.01679044236357763,74.0,-0.038961038961038974
2023-05-29,39.197,0.0,9.559,0.0,0.492,0.0,-3.149,0.0,74.0,0.0
2023-05-30,38.489,-0.01806260683215566,9.137,-0.04414687728841915,0.314,-0.3617886178861789,-3.181,0.010161956176564013,72.0,-0.027027027027026973
2023-05-31,38.534,0.0011691652160357169,9.222,0.009302834628433843,0.302,-0.03821656050955413,-3.184,0.0009430996541968106,72.0,0.0
2023-06-01,38.492,-0.001089946540717368,9.172,-0.0054218173931900315,0.304,0.0066225165562914245,-3.183,-0.0003140703517588994,72.0,0.0
2023-06-02,37.812,-0.01766600852125111,8.803,-0.040231138246838216,0.141,-0.5361842105263158,-3.219,0.011310084825636224,70.0,-0.02777777777777779
2023-06-05,37.307,-0.013355548503120596,8.537,-0.030216971486993094,0.056,-0.602836879432624,-3.232,0.004038521279900786,69.0,-0.014285714285714235
2023-06-06,37.348,0.001098989465783795,8.563,0.0030455663582054093,0.056,0.0,-3.233,0.0003094059405939209,69.0,0.0
2023-06-07,37.348,0.0,8.496,-0.00782436062127756,0.051,-0.08928571428571441,-3.231,-0.0006186204763378722,69.0,0.0
2023-06-08,37.353,0.00013387597729463963,8.43,-0.007768361581920957,0.058,0.1372549019607845,-3.226,-0.0015475085112968134,69.0,0.0
2023-06-09,36.98,-0.009985811045966964,8.227,-0.024080664294187315,-0.026,-1.4482758620689655,-3.242,0.004959702417854928,68.0,-0.01449275362318836
2023-06-12,36.919,-0.0016495402920497781,8.216,-0.0013370608970464382,-0.031,0.1923076923076923,-3.236,-0.0018507094386180922,68.0,0.0
2023-06-13,37.322,0.010915788618326872,8.466,0.03042843232716641,0.053,-2.709677419354839,-3.216,-0.006180469715698411,69.0,0.014705882352941124
2023-06-14,36.607,-0.01915760141471523,8.026,-0.051972596267422566,-0.117,-3.207547169811321,-3.246,0.009328358208955168,67.0,-0.02898550724637683
2023-06-15,37.336,0.019914224055508578,8.431,0.05046100174433077,0.051,-1.435897435897436,-3.211,-0.010782501540357425,69.0,0.029850746268656803
2023-06-16,36.973,-0.00972251982001282,8.225,-0.024433637765389538,-0.043,-1.843137254901961,-3.228,0.005294300840859689,68.0,-0.01449275362318836
2023-06-19,36.973,0.0,8.225,0.0,-0.043,0.0,-3.228,0.0,68.0,0.0
